27,"{'SI': '27', 'BOOK': 'Daniel', 'CHAPTERS': '12', 'VERSES': '357', 'WORDS': '11602', 'AUTHOR': 'Daniel', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
28,"{'SI': '28', 'BOOK': 'Hosea', 'CHAPTERS': '14', 'VERSES': '197', 'WORDS': '5174', 'AUTHOR': 'Hosea', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
29,"{'SI': '29', 'BOOK': 'Joel', 'CHAPTERS': '3', 'VERSES': '73', 'WORDS': '2033', 'AUTHOR': 'Joel', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
30,"{'SI': '30', 'BOOK': 'Amos', 'CHAPTERS': '9', 'VERSES': '146', 'WORDS': '4216', 'AUTHOR': 'Amos', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
31,"{'SI': '31', 'BOOK': 'Obadiah', 'CHAPTERS': '1', 'VERSES': '21', 'WORDS': '669', 'AUTHOR': 'Obadiah', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
32,"{'SI': '32', 'BOOK': 'Jonah', 'CHAPTERS': '4', 'VERSES': '48', 'WORDS': '1320', 'AUTHOR': 'Jonah', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
33,"{'SI': '33', 'BOOK': 'Micah', 'CHAPTERS': '7', 'VERSES': '105', 'WORDS': '3152', 'AUTHOR': 'Micah', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
34,"{'SI': '34', 'BOOK': 'Nahum', 'CHAPTERS': '3', 'VERSES': '47', 'WORDS': '1284', 'AUTHOR': 'Nahum', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
35,"{'SI': '35', 'BOOK': 'Habakkuk', 'CHAPTERS': '3', 'VERSES': '56', 'WORDS': '1475', 'AUTHOR': 'Habakkuk', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
36,"{'SI': '36', 'BOOK': 'Zephaniah', 'CHAPTERS': '3', 'VERSES': '53', 'WORDS': '1616', 'AUTHOR': 'Zephaniah', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
37,"{'SI': '37', 'BOOK': 'Haggai', 'CHAPTERS': '2', 'VERSES': '38', 'WORDS': '1130', 'AUTHOR': 'Haggai', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
38,"{'SI': '38', 'BOOK': 'Zechariah', 'CHAPTERS': '14', 'VERSES': '211', 'WORDS': '6443', 'AUTHOR': 'Zechariah', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
39,"{'SI': '39', 'BOOK': 'Malachi', 'CHAPTERS': '4', 'VERSES': '55', 'WORDS': '1781', 'AUTHOR': 'Malachi', 'GENRE': 'Prophecy', 'OT/NT': 'OT'}"
